date,location,time,site,plot,impact,nh4,no3.no2,srp,din,doc,vol.col.l,vol.col.mm
8-May-16,Stand Up,5,SU,3,Low,0.004354129,0.192509576,0.094784806,0.196863706,44.8,,
8-May-16,Jungle,5,JC,1,Low,,,,,,,
8-May-16,Jungle,5,JC,2,Low,,,,,,,
8-May-16,Jungle,5,JC,3,Low,,,,,,,
4-Jun-16,Cougar,6,BG,1,High,,,,,,,
4-Jun-16,Cougar,6,BG,2,High,0.004191438,0.020110028,0.435094237,0.024301466,27.3,,
4-Jun-16,Cougar,6,BG,3,High,0.017681193,0.042618841,0.465354535,0.060300034,80.7,,
4-Jun-16,Hurley,6,HU,1,High,0.025548399,0.055595067,0.842575565,0.081143466,144.9,,
4-Jun-16,Hurley,6,HU,2,High,0.013827107,0.032017305,0.486008389,0.045844412,53.7,,
4-Jun-16,Hurley,6,HU,3,High,0.009353241,0.02216674,0.25915007,0.031519981,49.7,,
4-Jun-16,Hovey,6,HO,1,High,0.008590785,0.034858815,0.571505738,0.043449599,80.6,0.8,24.6690645
4-Jun-16,Hovey,6,HO,2,High,0.0047576,0.007675042,0.391841224,0.012432642,47.7,0.45,13.87634878
4-Jun-16,Hovey,6,HO,3,High,0.005148371,0.017349705,0.384804504,0.022498075,88.8,,
4-Jun-16,Blue,6,BC,1,High,0.021407142,0.053450404,2.293917089,0.074857547,125.1,,
4-Jun-16,Blue,6,BC,2,High,0.005503699,0.016706982,0.57835033,0.022210681,72.8,,
4-Jun-16,Blue,6,BC,3,High,,,,,,,
4-Jun-16,Jack,6,JA,1,Low,0.025361193,0.038221267,1.624756232,0.06358246,119.2,,
4-Jun-16,Jack,6,JA,2,Low,0.006082584,0.033695149,0.270425633,0.039777733,68.9,,
4-Jun-16,Jack,6,JA,3,Low,0.068623102,0.031049839,1.455394629,0.099672941,84.3,,
4-Jun-16,Moonbeam,6,MB,1,Low,0.076015192,,0.199056551,0.076015192,43.1,,
4-Jun-16,Moonbeam,6,MB,2,Low,0.080499142,,0.713763223,0.080499142,48.1,,
4-Jun-16,Moonbeam,6,MB,3,Low,0.076208711,,0.12564592,0.076208711,41,,
4-Jun-16,Stand Up,6,SU,1,Low,0.083180891,,0.344509947,0.083180891,74.6,,
4-Jun-16,Stand Up,6,SU,2,Low,0.074674318,,0.513002381,0.074674318,56.8,1.03,31.76142054
4-Jun-16,Stand Up,6,SU,3,Low,0.073613175,,0.186746887,0.073613175,55.9,,
4-Jun-16,Jungle,6,JC,1,Low,0.099434635,,0.811851854,0.099434635,76.6,,
4-Jun-16,Jungle,6,JC,2,Low,,,,,,,
4-Jun-16,Jungle,6,JC,3,Low,0.120257624,,0.742218093,0.120257624,96.3,,
21-Jun-16,Cougar,7,BG,1,High,,,,,,,
21-Jun-16,Cougar,7,BG,2,High,0.10298396,0.022701327,2.936729059,0.125685287,255.9,,
21-Jun-16,Cougar,7,BG,3,High,0.104804497,0.050112621,6.636809789,0.154917118,278.1,,
21-Jun-16,Hurley,7,HU,1,High,0.066888111,0.03953914,3.490641208,0.10642725,236,,
21-Jun-16,Hurley,7,HU,2,High,0.020033723,0.0313584,2.249017723,0.051392122,195.2,,
21-Jun-16,Hurley,7,HU,3,High,0.02125616,0.023498907,1.925877419,0.044755068,430,,
21-Jun-16,Hovey,7,HO,1,High,0.063564636,0.065726369,1.775942255,0.129291006,185.9,0.54,16.65161854
21-Jun-16,Hovey,7,HO,2,High,0.081912062,0.028915809,2.927164396,0.110827871,239.7,0.36,11.10107902
21-Jun-16,Hovey,7,HO,3,High,0.169402783,0.100747912,2.148334517,0.270150696,151,,
21-Jun-16,Blue,7,BC,1,High,0.155719804,0.059268182,4.597236329,0.214987986,270,,
21-Jun-16,Blue,7,BC,2,High,0.303693602,0.072810436,4.10181103,0.376504039,215.9,,
21-Jun-16,Blue,7,BC,3,High,0.097243659,0.036841766,0.088006028,0.134085426,762.5,,
21-Jun-16,Jack,7,JA,1,Low,0.017594276,0.049154417,1.982950607,0.066748693,356.7,,
21-Jun-16,Jack,7,JA,2,Low,0.014835421,0.031009458,0.832140109,0.045844879,311.9,,
21-Jun-16,Jack,7,JA,3,Low,0.019406669,0.093325982,2.341807056,0.112732651,166.7,,
21-Jun-16,Moonbeam,7,MB,1,Low,0.004895761,0.01077085,0.783880939,0.015666611,76.5,,
